index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
478,1028,google,mtv,CA,US,NA,NA,software engineer,Software,NA,2.5,1.5,108000,NA,19000,52000,NA,3/21/16 14:14,93760,38431,0.7092767,0.2907233
481,1032,google,seattle,WA,US,NA,NA,sde,Software,NA,0,0,110,5,15,45,New Hire - College Grad (MS),3/21/16 14:14,93760,38431,0.7092767,0.2907233
493,1052,google,mountain view,CA,US,NA,NA,developer programs engineer,Software,NA,NA,NA,114000,NA,NA,NA,NA,3/21/16 14:16,93760,38431,0.7092767,0.2907233
521,1100,apple,sunnyvale,CA,US,NA,NA,software engineer,Software,NA,2,2,118000,20000,10000,100000,NA,3/21/16 14:20,157655,69223,0.6948889,0.3051111
526,1107,ebay,sf bay area,CA,US,NA,NA,mts,Other,NA,6,1,195000,10000,20000,"~150,000",NA,3/21/16 14:20,14648,9434,0.6082551,0.3917449
530,1118,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,1,1,135000,50000,30000,30000,NA,3/21/16 14:21,21269,9659,0.687694,0.312306
561,1200,google,"mountain view, ca",CA,US,37.41,-122.05,web solutions engineer,Web,NA,10,1,120000,0,18000,28000,NA,3/21/16 14:27,93760,38431,0.7092767,0.2907233
575,1231,intuit,san diego,CA,US,NA,NA,software engineer,Software,NA,3,2,95000,5000,5000,NA,NA,3/21/16 14:30,10474,7712,0.5759375,0.4240625
578,1237,apple,"cupertino, ca",CA,US,37.3,-122.09,firmware engineer,Engineering,NA,5,4,120000,10000,10000,35000,NA,3/21/16 14:30,157655,69223,0.6948889,0.3051111
593,1268,apple,sunnyvale,CA,US,NA,NA,analyst,Data,NA,5,2,105000,NA,NA,NA,NA,3/21/16 14:33,157655,69223,0.6948889,0.3051111
631,1337,cisco,"reading, uk",NA,UK,NA,NA,software developer,Software,NA,3,2,59013,0,6399,~6000 GBP,This is at the low end of 'grade 8',3/21/16 14:41,82251,29115,0.7385647,0.2614353
647,1365,salesforce,bay area,CA,US,NA,NA,lead engineer,Engineering,NA,5,2,165000,NA,25000,50000,NA,3/21/16 14:45,28212,13189,0.6814328,0.3185672
650,1369,google,new york city,NY,US,38,-97,software engineer ii,Software,2,5,1.5,124000,10000,22000,46000,NA,3/21/16 14:45,93760,38431,0.7092767,0.2907233
652,1372,salesforce,"san francisco, ca",CA,US,37.77,-122.41,lead member of technical staff,Other,NA,9,1.5,170000,25000,25000,35000,NA,3/21/16 14:46,28212,13189,0.6814328,0.3185672
653,1375,google,los angeles,CA,US,NA,NA,swe 3 (t4),Software,NA,4,2,130000,NA,23000,60000,NA,3/21/16 14:47,93760,38431,0.7092767,0.2907233
658,1384,nvidia,santa clara,CA,US,NA,NA,software engineer,Software,NA,2,2,125000,9000,0,"10,000",NA,3/21/16 14:49,12844,2581,0.8326742,0.1673258
691,1446,intel,"folsom, ca",CA,US,38.67,-121.14,software engineering manager,Management,NA,16,2,160000,10000,25000,8000,pretty awesome place to work at,3/21/16 14:59,120744,41259,0.7453195,0.2546805
693,1456,apple,cupertino,CA,US,NA,NA,software engineer,Software,NA,3.5,2,131000,17000,10000,"15,000",NA,3/21/16 14:59,157655,69223,0.6948889,0.3051111
